id,text,user_id,created_at,url
5.33E+017,I Pooh - In silenzio 1968 http://t.co/ahvQxUqTws,24858289,Wed Nov 12 20:14:48 +0000 2014,http://t.co/ahvQxUqTws
5.33E+017,http://t.co/HyI5EQKz6Q,24858289,Wed Nov 12 20:01:32 +0000 2014,http://t.co/HyI5EQKz6Q
5.33E+017,"Tutti a tavola, con il filetto di baccalà. http://t.co/aHHbFXJbIS",24858289,Wed Nov 12 12:41:32 +0000 2014,http://t.co/aHHbFXJbIS
5.32E+017,http://t.co/NAHQ4l2pUy,24858289,Tue Nov 11 22:23:43 +0000 2014,http://t.co/NAHQ4l2pUy
5.32E+017,Gold - Spandau Ballet http://t.co/o8ZJHt7Neu,24858289,Tue Nov 11 22:17:01 +0000 2014,http://t.co/o8ZJHt7Neu
5.32E+017,Le grandi varianti regionali di un pesce chiamato baccalà http://t.co/qTe0I9IzU5,24858289,Mon Nov 10 19:33:26 +0000 2014,http://t.co/qTe0I9IzU5
5.32E+017,http://t.co/5zjKTwsLST,24858289,Mon Nov 10 19:33:21 +0000 2014,http://t.co/5zjKTwsLST
5.32E+017,http://t.co/dNkWiNfA16,24858289,Sun Nov 09 21:50:54 +0000 2014,http://t.co/dNkWiNfA16
5.31E+017,Ruggero de I Timidi - Padre e Figlio (Video) http://t.co/riutWINwKZ,24858289,Sat Nov 08 22:02:08 +0000 2014,http://t.co/riutWINwKZ
5.31E+017,Falco - Der Kommisar - Musica degli anni 80 http://t.co/e6PkjXRdBz,24858289,Sat Nov 08 22:01:19 +0000 2014,http://t.co/e6PkjXRdBz
5.31E+017,Formazione pizzaioli http://t.co/MKHsWRrj8L,24858289,Sat Nov 08 22:00:17 +0000 2014,http://t.co/MKHsWRrj8L
5.31E+017,George Michael~ I Want Your Sex http://t.co/8cCEV382su,24858289,Sat Nov 08 21:49:23 +0000 2014,http://t.co/8cCEV382su
5.31E+017,http://t.co/Yd4IWS5nKF,24858289,Sat Nov 08 06:13:27 +0000 2014,http://t.co/Yd4IWS5nKF
5.31E+017,Pink Floyd - Hey you [HQ] http://t.co/Pz648ODUKy,24858289,Fri Nov 07 20:25:58 +0000 2014,http://t.co/Pz648ODUKy
